GeneSymbol	TW-20250618	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9
SEC24B-AS1	0.215348795647861	0.148871606383816	0.136308811376942	1.00527434618438	0.270842543063918	1.05502083053131	0.161540772723687	0	0.475183624511937	0.599116965747512
A2M	5.38371989119652	7.14583710642319	3.2714114730466	2.61371330007939	5.55227213281032	3.29694009541033	7.10779399984223	8.42149270482362	8.55330524121487	11.6827808320765
A2MP1	0.215348795647861	0.148871606383816	0.408926434130825	0.603164607710628	0.541685086127836	0.659388019082066	1.13078540906581	0.247690961906577	0.475183624511937	2.39646786299005
A4GALT	0	0	0	0.402109738473752	0	0.131877603816413	0.969244636342122	1.98152769525262	0	0.449337724310634
AAAS	9.69069580415374	7.14583710642319	9.54161679638592	6.63481068481691	7.17732739119382	8.83579945569969	11.3078540906581	5.20151020003812	9.8204615732467	7.63874131328078
AACS	3.8762783216615	7.14583710642319	6.5428229460932	6.83586555405378	6.22937849047011	7.12139060608631	4.84622318171061	4.45843731431839	4.75183624511937	6.29072814034888
AAGAB	37.9013880340235	31.4119089469853	34.2135116556124	32.5708888163739	34.8032667837134	38.7720155220255	34.2466438174216	37.8967171717063	46.0928115776579	45.2333309139372
AAK1	0.646046386943583	2.97743212767633	2.18094098203107	0.603164607710628	2.03131907297938	2.50567447251185	3.23081545447374	1.23845480953289	0.950367249023874	2.84580558730068
AAMP	25.8418554777433	23.8194570214106	30.1242473143041	24.5286940468989	30.3343648231588	31.6506249159392	28.2696352266452	29.4752244668827	27.0854665971804	33.5505500818607
AARS	16.7972060605332	15.1849038511493	23.308806745457	17.6928284928451	19.5006631006021	18.0672317228486	18.9002704086714	19.5675859906196	22.0168412690531	20.819314559726
AARS2	4.52232470860508	5.95486425535266	5.86127888920849	4.02109738473752	5.41685086127836	4.87947134120729	5.33084549988167	5.69689212385127	4.27665262060743	3.89426027735883
AASDH	3.44558073036577	4.16840497874686	4.36188196406213	4.2221522539744	4.06263814595877	4.35196092594164	4.68468240898692	2.72460058097235	3.0094962885756	4.34359800166946
AASDHPPT	29.9334825950527	47.9366572555889	43.3462020178674	44.4331261013496	54.9810362419753	42.0689556174358	51.3699657261324	51.0243381527549	60.348320313016	46.2817856039953
AASS	0.430697591295722	1.19097285107053	2.72617622753883	1.00527434618438	1.21879144378763	2.63755207632826	1.77694849996056	2.47690961906577	2.05912903955173	2.54624710442693
AATF	115.426954467253	108.229657841035	103.594696646476	98.7179407953061	88.971775396497	105.370205449314	79.6396009527777	79.0134168481981	87.2753923686924	68.748671819527
AATK	26.0572042733912	30.2209360959147	17.7201454790024	40.2109738473752	30.3343648231588	24.6611119136693	28.5927167720926	20.5583498382459	18.0569777314536	15.2774826265616
ABAT	29.9334825950527	33.3472398299749	31.2147178053196	34.7824923779795	37.6471134858846	23.7379686869544	37.8005408173427	31.7044431240419	30.5701465102679	25.762029527143
ABCA1	54.0525477076131	75.1801612238273	34.2135116556124	58.1048572094572	33.1782115253299	41.1458123907209	40.7082747263691	27.2460058097235	52.2701986963131	39.2421612564621
ABCA10	0.430697591295722	0.893229638302899	0.81785286826165	0.402109738473752	0.812527629191754	0.263755207632826	0.323081545447374	0.247690961906577	0.950367249023874	2.54624710442693
ABCA13	2.58418554777433	0.595486425535266	0.136308811376942	0.603164607710628	0.541685086127836	0.39563281144924	0.969244636342122	0.495381923813154	1.10876179052785	0.599116965747512
ABCA2	24.5497627038561	17.2691063405227	20.5826305179182	15.8833346697132	14.3546547823876	26.5073983670991	23.4234120449346	22.7875684954051	12.8299578618223	8.98675448621268
ABCA3	8.61395182591444	2.6796889149087	3.54402909580048	3.82004251550064	4.46890196055465	4.35196092594164	5.81546781805273	6.19227404766443	1.74233995654377	1.3480131729319
ABCA5	18.0892988344203	16.3758767022198	20.8552481406721	15.8833346697132	18.1464503852825	17.6715989113994	16.4771588178161	15.1091486763012	21.0664740200292	20.2201975939785
ABCA6	0.430697591295722	0.44661481915145	0.545235245507767	0.201054869236876	0.541685086127836	0.659388019082066	2.74619313630268	1.23845480953289	2.05912903955173	1.19823393149502
ABCA7	14.6437181040545	12.5052149362406	11.0410137215323	12.0632921542126	11.5108080802165	12.3964947587428	3.23081545447374	11.146093285796	5.22701986963131	5.99116965747512
ABCB1	11.1981373736888	20.246538468199	21.8094098203107	15.4812249312394	18.9589780144743	25.3204999327513	13.8925064542371	9.90763847626308	23.6007866840929	14.3788071779403
ABCB10	113.273466510775	59.6975141599104	71.8347435956482	74.1892467484072	66.085580507596	59.3449217173859	36.3466738628296	123.350099029475	64.1497893091115	59.4623588504406
ABCB4	0.430697591295722	1.93533088298961	4.77080839819296	3.01582303855314	3.11468924523506	1.71440884961337	3.23081545447374	1.98152769525262	2.69270720556764	2.6960263458638
ABCB5	3.8762783216615	3.27517534044396	3.13510266166966	6.23270094634315	2.84384670217114	5.53885936028936	3.23081545447374	7.43072885719731	3.16789083007958	5.24227345029073
ABCB6	4.30697591295722	6.99696550003938	4.63449958681602	6.23270094634315	7.71901247732166	5.53885936028936	6.62317168167116	9.65994751435651	4.27665262060743	9.13653372764956
ABCB7	27.9953434342219	37.3667732023379	30.260556125681	29.152956039347	29.9281010085629	33.6287889731854	34.0851030446979	29.7229154287893	36.5891390874191	40.1408367050833
ABCB8	1.0767439782393	1.63758767022198	1.49939692514636	1.60843895389501	1.48963398685155	0.659388019082066	2.58465236357899	2.47690961906577	0.633578166015916	1.04845469005815
